video,cond,texts_n,desc_mean_len,forbidden_rate,two_line_format_rate,hedging_per100w,frame_text_conflict_rate,fault_alignment_rate,reproducibility,length_variance,behavior_align_score_desc,ilc_coverage,bd_unique,odtr_offdomain
/app/data/raw/videos/validation_reencoded/bb_1_211124_vehicle_30_412.mp4,A1_g0.2,3,14.333333333333334,0.0,1.0,0.0,0.0,1.0,0.17954887218045112,57.55555555555555,0.5312483708063761,0.0,0.0,0.3076190476190476
/app/data/raw/videos/validation_reencoded/bb_1_211031_vehicle_225_22188.mp4,A1_g0.2,3,11.0,0.0,1.0,0.0,0.0,1.0,0.04532163742690058,16.666666666666668,0.528024156888326,0.0,0.0,0.3788680455347122
/app/data/raw/videos/validation_reencoded/bb_1_210927_vehicle_207_22007.mp4,A1_g0.2,3,10.333333333333334,0.0,1.0,0.0,0.0,1.0,0.15079365079365079,0.8888888888888888,0.5476079185803732,0.0,0.0,0.3634278002699055
/app/data/raw/videos/validation_reencoded/bb_1_210910_vehicle_45_284.mp4,A1_g0.2,3,13.0,0.3333333333333333,1.0,1.5873015873015872,0.0,1.0,0.2384126984126984,44.66666666666667,0.5256343086560568,0.0,0.0,0.30485527544351076
/app/data/raw/videos/validation_reencoded/bb_1_210827_vehicle_316_051.mp4,A1_g0.2,3,11.333333333333334,0.3333333333333333,1.0,0.0,0.0,1.0,0.05555555555555555,13.555555555555555,0.5599265793959299,0.0,0.0,0.32090643274853803
/app/data/raw/videos/validation_reencoded/bb_1_210820_vehicle_113_137.mp4,A1_g0.2,3,10.666666666666666,0.0,1.0,0.0,0.0,1.0,0.19166666666666668,4.222222222222223,0.5304231146971384,0.0,0.0,0.30933125019146523
/app/data/raw/videos/validation_reencoded/bb_1_210720_vehicle_206_22387.mp4,A1_g0.2,3,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5393480161825815,0.0,0.0,0.3952850877192982
/app/data/raw/videos/validation_reencoded/bb_1_210713_vehicle_113_094.mp4,A1_g0.2,3,13.333333333333334,0.0,1.0,0.0,0.0,1.0,0.2218181818181818,22.888888888888886,0.5405657390753428,0.0,0.0,0.31435231435231437
/app/data/raw/videos/validation_reencoded/bb_1_210607_vehicle_314_057.mp4,A1_g0.2,3,14.0,0.0,1.0,0.0,0.0,1.0,0.14659611992945326,32.666666666666664,0.46360722184181213,0.0,0.0,0.3301169590643275
/app/data/raw/videos/validation_reencoded/bb_1_210523_vehicle_21_250.mp4,A1_g0.2,3,10.333333333333334,0.0,1.0,0.0,0.0,1.0,0.15079365079365079,0.8888888888888888,0.5233740111192068,0.0,0.0,0.3934372969460689
/app/data/raw/videos/validation_reencoded/bb_1_210507_vehicle_248_22993.mp4,A1_g0.2,3,9.0,0.3333333333333333,1.0,0.0,0.0,1.0,0.1845238095238095,17.999999999999996,0.5836800535519918,0.0,0.0,0.2634383866267924
/app/data/raw/videos/validation_reencoded/bb_1_210210_vehicle_221_22209.mp4,A1_g0.2,3,10.0,0.0,1.0,0.0,0.0,1.0,0.20588235294117646,0.6666666666666666,0.5185107588768005,0.0,0.0,0.31254856254856256
/app/data/raw/videos/validation_reencoded/bb_1_210209_vehicle_112_136.mp4,A1_g0.2,3,19.333333333333332,0.0,1.0,0.0,0.0,0.0,0.14539682539682539,88.22222222222224,0.45798922578493756,0.0,0.0,0.3344968756733463
